 x10
定数は 0.057uF で決定．
## Cap: 473
## no load 
| Freq. [Hz] | Pk-Pk [mV] |
 | 20  | 160     | 
 | 37  |      | 
 | 40  | 150     | 
 | 45  |      | 
 | 83  |      | 
 | 80  | 112     | 
 | 160 | 70     | 

## load of SWA-V50 (3 ohm)

| Freq. [Hz] | Pk-Pk [mV] |
| 20 | 82.4 |
| 37 | 152 |
| 40 | 136 |
| 80 | 98.4 |
| 160 | 44.8 |
| 320 | 27.2 |

## Cap: 473 (again)
## load of SWA-V50 (3 ohm)

| Freq. [Hz] | Pk-Pk [mV] |
| 20 | 88 |
| 37 | 160 |
| 40 | 146 |
| 45 | 113 |
| 83 | 113 |
| 80 | 108 |
| 160 | 48.0 |

## Cap: 223
## no load
| Freq. [Hz] | Pk-Pk [mV] |
| 20 | 166 |
| 37 |  |
| 40 | 170 |
| 57 |  |
| 75 |  |
| 80 | 154 |
| 151 | 118|
| 160 | 118 |
| 320 | 74|
## with load of ...
| Freq. [Hz] | Pk-Pk [mV] |
| 20 | 89.6 |
| 37 | 174 |
| 40 | 164 |
| 57 | 106 |
| 75 | 146 |
| 80 | 144.8 |
| 160 | 80.8 |
| 1280 | 16.5|

## Cap: 573
## no load with cap
  | Freq. [Hz] | Pk-Pk [mV] | 
  | 20         | 356        | 
  | 37         | 328        | 
  | 40         | 324        | 
  | 57         | 280        | 
  | 67         | 252        | 
  | 75         | 240        | 
  | 80         | 228        | 
  | 160        | 136        | 

## with load no cap
 | Freq. [Hz] | Pk-Pk [mV] | 
 | 20         | 292           | 
 | 37         | 304           | 
 | 40         | 302           | 
 | 57         |  228          | 
 | 75         | 216           | 
 | 80         | 214           | 
 | 160        | 108           | 

## with load with cap
 | Freq. [Hz] | Pk-Pk [mV] | 
 | 20         | 202           | 
 | 35         |  344          | 
 | 40         |  302          | 
 | 57         | 182           | 
 | 76         | 220           | 
 | 80         | 214           | 
 | 160        | 94           | 
 | 320 | 54 |

## New circuit
## no load
0.32uF で cut off 63 Hz

### volume ひくめ
| 20 | 0.332 | 4.86 | 2.04|
| 55 | 0.234 | --   |     |
| 57 | --    | 3.43 |     |
| 57 | --    |  --  | 1.44 |

